Ticker: r
Buy: 1985.03.19 100 shares @ 11.1111111, total shares = 100, cash = -1119.1111111
Buy: 1992.10.05 100 shares @ 22.0000000, total shares = 300, cash = -2724.3333333
Buy: 1992.10.12 100 shares @ 22.0000000, total shares = 400, cash = -4932.3333333
Sell: 1992.11.09 100 shares @ 23.8150000, total shares = 300, cash = -2558.8333333
Sell: 1992.11.10 100 shares @ 23.8750000, total shares = 200, cash = -179.3333333
Sell: 1992.12.02 100 shares @ 28.2500000, total shares = 100, cash = 2637.6666667
Sell: 1992.12.16 100 shares @ 27.0000000, total shares = 0, cash = 5329.6666667
Buy: 1993.02.17 100 shares @ 29.0000000, total shares = 100, cash = 2421.6666667
Buy: 1993.03.02 100 shares @ 28.0000000, total shares = 200, cash = -386.3333333
Buy: 1993.04.05 100 shares @ 27.0000000, total shares = 300, cash = -3094.3333333
Buy: 1993.04.26 100 shares @ 27.5000000, total shares = 400, cash = -5852.3333333
Sell: 1993.06.04 100 shares @ 29.0000000, total shares = 300, cash = -2960.3333333
Sell: 1993.06.30 100 shares @ 31.3750000, total shares = 200, cash = 169.1666667
Sell: 1993.07.06 100 shares @ 30.8150000, total shares = 100, cash = 3242.6666667
Sell: 1993.07.08 100 shares @ 30.2500000, total shares = 0, cash = 6259.6666667
Buy: 1993.08.19 100 shares @ 30.5000000, total shares = 100, cash = 3201.6666667
Buy: 1993.08.23 100 shares @ 29.3800000, total shares = 200, cash = 255.6666667
Buy: 1993.10.20 100 shares @ 29.6200000, total shares = 300, cash = -2714.3333333
Buy: 1993.10.22 100 shares @ 28.3800000, total shares = 400, cash = -5560.3333333
Buy: 1994.03.31 100 shares @ 25.0000000, total shares = 500, cash = -8068.3333333
Buy: 1994.04.22 100 shares @ 23.8800000, total shares = 600, cash = -10464.3333333
Buy: 1994.05.09 100 shares @ 23.6200000, total shares = 700, cash = -12834.3333333
Sell: 1994.06.17 100 shares @ 25.3750000, total shares = 600, cash = -10304.8333333
Buy: 1994.09.26 100 shares @ 25.6200000, total shares = 700, cash = -12874.8333333
Buy: 1994.11.23 100 shares @ 21.3800000, total shares = 800, cash = -15020.8333333
Buy: 1994.12.13 100 shares @ 20.2500000, total shares = 900, cash = -17053.8333333
Sell: 1995.01.04 100 shares @ 22.8150000, total shares = 800, cash = -14780.3333333
Sell: 1995.01.30 100 shares @ 22.0000000, total shares = 700, cash = -12588.3333333
Sell: 1995.02.23 100 shares @ 23.0000000, total shares = 600, cash = -10296.3333333
Sell: 1995.03.10 100 shares @ 22.7500000, total shares = 500, cash = -8029.3333333
Sell: 1995.05.03 100 shares @ 23.4400000, total shares = 400, cash = -5693.3333333
Sell: 1995.05.23 100 shares @ 24.8750000, total shares = 300, cash = -3213.8333333
Sell: 1995.05.24 100 shares @ 24.9350000, total shares = 200, cash = -728.3333333
Sell: 1995.07.20 100 shares @ 24.6250000, total shares = 100, cash = 1726.1666667
Sell: 1995.07.21 100 shares @ 24.8150000, total shares = 0, cash = 4199.6666667
Buy: 1995.10.19 100 shares @ 24.5000000, total shares = 100, cash = 1741.6666667
Buy: 1995.12.15 100 shares @ 24.7500000, total shares = 200, cash = -741.3333333
Sell: 1995.12.15 100 shares @ 24.7500000, total shares = 100, cash = 1725.6666667
Buy: 1995.12.21 100 shares @ 23.5000000, total shares = 200, cash = -632.3333333
Sell: 1996.02.06 100 shares @ 25.1250000, total shares = 100, cash = 1872.1666667
Sell: 1996.02.14 100 shares @ 26.9400000, total shares = 0, cash = 4558.1666667
Buy: 1996.07.12 100 shares @ 26.7500000, total shares = 100, cash = 1875.1666667
Sell: 1996.10.30 100 shares @ 29.3150000, total shares = 0, cash = 4798.6666667
Buy: 1997.01.24 100 shares @ 28.5000000, total shares = 100, cash = 1940.6666667
Sell: 1997.03.24 100 shares @ 30.3800000, total shares = 0, cash = 4970.6666667
Buy: 1997.10.28 100 shares @ 34.2500000, total shares = 100, cash = 1537.6666667
Buy: 1997.12.03 100 shares @ 35.1200000, total shares = 200, cash = -1982.3333333
Buy: 1997.12.22 100 shares @ 33.0000000, total shares = 300, cash = -5290.3333333
Buy: 1998.01.12 100 shares @ 31.8800000, total shares = 400, cash = -8486.3333333
Sell: 1998.02.02 100 shares @ 34.1900000, total shares = 300, cash = -5075.3333333
Sell: 1998.02.05 100 shares @ 35.1900000, total shares = 200, cash = -1564.3333333
Sell: 1998.03.20 100 shares @ 37.9050000, total shares = 100, cash = 2218.1666667
Buy: 1998.05.18 100 shares @ 33.3100000, total shares = 200, cash = -1120.8333333
Buy: 1998.08.05 100 shares @ 27.3800000, total shares = 300, cash = -3866.8333333
Buy: 1998.08.28 100 shares @ 24.0600000, total shares = 400, cash = -6280.8333333
Buy: 1998.09.04 100 shares @ 21.0000000, total shares = 500, cash = -8388.8333333
Buy: 1998.10.02 100 shares @ 23.1200000, total shares = 600, cash = -10708.8333333
Buy: 1998.10.09 100 shares @ 22.4400000, total shares = 700, cash = -12960.8333333
Buy: 1998.10.27 100 shares @ 24.1200000, total shares = 800, cash = -15380.8333333
Buy: 1998.10.29 100 shares @ 23.5600000, total shares = 900, cash = -17744.8333333
Sell: 1998.11.10 100 shares @ 27.3150000, total shares = 800, cash = -15021.3333333
Buy: 1998.12.17 100 shares @ 23.6200000, total shares = 900, cash = -17391.3333333
Sell: 1999.01.15 100 shares @ 26.4700000, total shares = 800, cash = -14752.3333333
Buy: 1999.01.29 100 shares @ 24.6200000, total shares = 900, cash = -17222.3333333
Sell: 1999.02.24 100 shares @ 27.9400000, total shares = 800, cash = -14436.3333333
Buy: 1999.04.06 100 shares @ 25.4400000, total shares = 900, cash = -16988.3333333
Buy: 1999.04.07 100 shares @ 23.0000000, total shares = 1000, cash = -19296.3333333
Sell: 1999.04.21 100 shares @ 26.8750000, total shares = 900, cash = -16616.8333333
Sell: 1999.06.16 100 shares @ 27.8800000, total shares = 800, cash = -13836.8333333
Buy: 1999.06.29 100 shares @ 25.8800000, total shares = 900, cash = -16432.8333333
Buy: 1999.07.06 100 shares @ 24.4400000, total shares = 1000, cash = -18884.8333333
Buy: 1999.08.12 100 shares @ 21.8800000, total shares = 1100, cash = -21080.8333333
Buy: 1999.09.01 100 shares @ 22.0600000, total shares = 1200, cash = -23294.8333333
Buy: 1999.09.27 100 shares @ 21.3100000, total shares = 1300, cash = -25433.8333333
Buy: 1999.10.01 100 shares @ 20.5000000, total shares = 1400, cash = -27491.8333333
Sell: 1999.11.19 100 shares @ 22.6250000, total shares = 1300, cash = -25237.3333333
Buy: 1999.12.08 100 shares @ 20.6200000, total shares = 1400, cash = -27307.3333333
Sell: 1999.12.21 100 shares @ 22.8750000, total shares = 1300, cash = -25027.8333333
Buy: 2000.01.05 100 shares @ 22.2500000, total shares = 1400, cash = -27260.8333333
Sell: 2000.01.11 100 shares @ 24.3750000, total shares = 1300, cash = -24831.3333333
Buy: 2000.02.08 100 shares @ 21.3100000, total shares = 1400, cash = -26970.3333333
Buy: 2000.02.10 100 shares @ 20.8100000, total shares = 1500, cash = -29059.3333333
Buy: 2000.02.14 100 shares @ 20.3800000, total shares = 1600, cash = -31105.3333333
Buy: 2000.02.18 100 shares @ 19.7500000, total shares = 1700, cash = -33088.3333333
Buy: 2000.02.22 100 shares @ 19.1200000, total shares = 1800, cash = -35008.3333333
Buy: 2000.03.07 100 shares @ 17.7500000, total shares = 1900, cash = -36791.3333333
Buy: 2000.03.20 100 shares @ 20.0600000, total shares = 2000, cash = -38805.3333333
Sell: 2000.04.07 100 shares @ 23.7500000, total shares = 1900, cash = -36438.3333333
Sell: 2000.04.28 100 shares @ 22.4700000, total shares = 1800, cash = -34199.3333333
Buy: 2000.05.04 100 shares @ 20.5000000, total shares = 1900, cash = -36257.3333333
Buy: 2000.05.24 100 shares @ 18.8800000, total shares = 2000, cash = -38153.3333333
Buy: 2000.07.03 100 shares @ 18.9400000, total shares = 2100, cash = -40055.3333333
Sell: 2000.08.21 100 shares @ 21.7150000, total shares = 2000, cash = -37891.8333333
Sell: 2000.08.25 100 shares @ 20.0350000, total shares = 1900, cash = -35896.3333333
Buy: 2000.10.03 100 shares @ 17.1200000, total shares = 2000, cash = -37616.3333333
Buy: 2000.10.04 100 shares @ 16.6900000, total shares = 2100, cash = -39293.3333333
Buy: 2000.10.06 100 shares @ 16.3100000, total shares = 2200, cash = -40932.3333333
Buy: 2000.10.20 100 shares @ 15.6900000, total shares = 2300, cash = -42509.3333333
Buy: 2000.10.24 100 shares @ 15.5000000, total shares = 2400, cash = -44067.3333333
Buy: 2000.10.27 100 shares @ 16.2500000, total shares = 2500, cash = -45700.3333333
Buy: 2000.12.18 100 shares @ 15.9400000, total shares = 2600, cash = -47302.3333333
Sell: 2001.02.07 100 shares @ 19.5150000, total shares = 2500, cash = -45358.8333333
Sell: 2001.02.08 100 shares @ 19.7300000, total shares = 2400, cash = -43393.8333333
Sell: 2001.02.15 100 shares @ 19.5950000, total shares = 2300, cash = -41442.3333333
Sell: 2001.02.20 100 shares @ 19.2200000, total shares = 2200, cash = -39528.3333333
Sell: 2001.02.21 100 shares @ 19.5800000, total shares = 2100, cash = -37578.3333333
Sell: 2001.02.22 100 shares @ 19.6200000, total shares = 2000, cash = -35624.3333333
Sell: 2001.02.26 100 shares @ 20.2350000, total shares = 1900, cash = -33608.8333333
Sell: 2001.03.19 100 shares @ 20.3650000, total shares = 1800, cash = -31580.3333333
Buy: 2001.03.21 100 shares @ 19.3200000, total shares = 1900, cash = -33520.3333333
Buy: 2001.03.23 100 shares @ 18.6600000, total shares = 2000, cash = -35394.3333333
Buy: 2001.04.12 100 shares @ 17.7500000, total shares = 2100, cash = -37177.3333333
Sell: 2001.04.27 100 shares @ 19.8500000, total shares = 2000, cash = -35200.3333333
Sell: 2001.05.10 100 shares @ 21.2700000, total shares = 1900, cash = -33081.3333333
Sell: 2001.05.11 100 shares @ 21.7950000, total shares = 1800, cash = -30909.8333333
Sell: 2001.05.30 100 shares @ 21.7950000, total shares = 1700, cash = -28738.3333333
Buy: 2001.06.15 100 shares @ 19.3800000, total shares = 1800, cash = -30684.3333333
Sell: 2001.08.16 100 shares @ 21.3000000, total shares = 1700, cash = -28562.3333333
Sell: 2001.08.21 100 shares @ 21.0600000, total shares = 1600, cash = -26464.3333333
Sell: 2001.08.22 100 shares @ 21.1000000, total shares = 1500, cash = -24362.3333333
Sell: 2001.09.06 100 shares @ 22.9750000, total shares = 1400, cash = -22072.8333333
Buy: 2001.09.18 100 shares @ 20.0800000, total shares = 1500, cash = -24088.8333333
Sell: 2001.09.19 100 shares @ 19.9100000, total shares = 1400, cash = -22105.8333333
Buy: 2001.09.21 100 shares @ 17.4500000, total shares = 1500, cash = -23858.8333333
Sell: 2001.10.16 100 shares @ 20.4750000, total shares = 1400, cash = -21819.3333333
Buy: 2001.10.18 100 shares @ 19.7500000, total shares = 1500, cash = -23802.3333333
Buy: 2001.10.30 100 shares @ 19.0100000, total shares = 1600, cash = -25711.3333333
Sell: 2001.11.19 100 shares @ 20.5300000, total shares = 1500, cash = -23666.3333333
Buy: 2001.12.14 100 shares @ 20.0000000, total shares = 1600, cash = -25674.3333333
Sell: 2002.01.31 100 shares @ 24.8650000, total shares = 1500, cash = -23195.8333333
Sell: 2002.02.01 100 shares @ 25.7000000, total shares = 1400, cash = -20633.8333333
Sell: 2002.02.08 100 shares @ 25.9500000, total shares = 1300, cash = -18046.8333333
Sell: 2002.04.10 100 shares @ 29.4600000, total shares = 1200, cash = -15108.8333333
Sell: 2002.04.19 100 shares @ 29.4600000, total shares = 1100, cash = -12170.8333333
Buy: 2002.04.25 100 shares @ 27.9500000, total shares = 1200, cash = -14973.8333333
Buy: 2002.06.12 100 shares @ 27.7000000, total shares = 1300, cash = -17751.8333333
Buy: 2002.07.11 100 shares @ 26.8300000, total shares = 1400, cash = -20442.8333333
Buy: 2002.07.22 100 shares @ 23.8500000, total shares = 1500, cash = -22835.8333333
Buy: 2002.07.23 100 shares @ 23.2300000, total shares = 1600, cash = -25166.8333333
Buy: 2002.07.24 100 shares @ 22.0000000, total shares = 1700, cash = -27374.8333333
Buy: 2002.09.04 100 shares @ 25.3000000, total shares = 1800, cash = -29912.8333333
Buy: 2002.09.30 100 shares @ 24.5200000, total shares = 1900, cash = -32372.8333333
Buy: 2002.10.03 100 shares @ 23.3500000, total shares = 2000, cash = -34715.8333333
Buy: 2002.10.08 100 shares @ 21.4800000, total shares = 2100, cash = -36871.8333333
Buy: 2002.10.10 100 shares @ 21.8300000, total shares = 2200, cash = -39062.8333333
Buy: 2002.10.17 100 shares @ 23.4000000, total shares = 2300, cash = -41410.8333333
Buy: 2002.11.19 100 shares @ 23.4000000, total shares = 2400, cash = -43758.8333333
Buy: 2002.11.27 100 shares @ 22.0000000, total shares = 2500, cash = -45966.8333333
Buy: 2003.01.27 100 shares @ 22.1900000, total shares = 2600, cash = -48193.8333333
Buy: 2003.02.25 100 shares @ 21.9000000, total shares = 2700, cash = -50391.8333333
Sell: 2003.03.03 100 shares @ 22.8900000, total shares = 2600, cash = -48110.8333333
Sell: 2003.03.18 100 shares @ 22.5250000, total shares = 2500, cash = -45866.3333333
Buy: 2003.03.31 100 shares @ 20.7000000, total shares = 2600, cash = -47944.3333333
Sell: 2003.04.16 100 shares @ 22.0950000, total shares = 2500, cash = -45742.8333333
Sell: 2003.04.23 100 shares @ 23.0950000, total shares = 2400, cash = -43441.3333333
Sell: 2003.04.24 100 shares @ 23.9550000, total shares = 2300, cash = -41053.8333333
Sell: 2003.05.28 100 shares @ 25.8750000, total shares = 2200, cash = -38474.3333333
Sell: 2003.06.30 100 shares @ 25.6350000, total shares = 2100, cash = -35918.8333333
Sell: 2003.07.23 100 shares @ 27.5800000, total shares = 2000, cash = -33168.8333333
Sell: 2003.08.15 100 shares @ 28.9250000, total shares = 1900, cash = -30284.3333333
Sell: 2003.10.13 100 shares @ 30.9350000, total shares = 1800, cash = -27198.8333333
Sell: 2003.10.27 100 shares @ 29.9250000, total shares = 1700, cash = -24214.3333333
Sell: 2003.12.19 100 shares @ 34.3850000, total shares = 1600, cash = -20783.8333333
Sell: 2004.01.06 100 shares @ 34.9650000, total shares = 1500, cash = -17295.3333333
Sell: 2004.01.08 100 shares @ 35.9800000, total shares = 1400, cash = -13705.3333333
Sell: 2004.03.17 100 shares @ 37.8750000, total shares = 1300, cash = -9925.8333333
Sell: 2004.03.19 100 shares @ 37.0750000, total shares = 1200, cash = -6226.3333333
Sell: 2004.04.08 100 shares @ 39.8700000, total shares = 1100, cash = -2247.3333333
Sell: 2004.04.16 100 shares @ 39.6200000, total shares = 1000, cash = 1706.6666667
Sell: 2004.06.15 100 shares @ 38.3500000, total shares = 900, cash = 5533.6666667
Sell: 2004.07.16 100 shares @ 39.8750000, total shares = 800, cash = 9513.1666667
Sell: 2004.07.23 100 shares @ 40.3750000, total shares = 700, cash = 13542.6666667
Sell: 2004.10.26 100 shares @ 48.1050000, total shares = 600, cash = 18345.1666667
Sell: 2004.11.03 100 shares @ 50.3500000, total shares = 500, cash = 23372.1666667
Buy: 2004.12.21 100 shares @ 49.0000000, total shares = 600, cash = 18464.1666667
Buy: 2004.12.22 100 shares @ 47.3000000, total shares = 700, cash = 13726.1666667
Buy: 2005.04.29 100 shares @ 37.2600000, total shares = 800, cash = 9992.1666667
Buy: 2005.08.24 100 shares @ 34.7600000, total shares = 900, cash = 6508.1666667
Buy: 2005.09.22 100 shares @ 32.1200000, total shares = 1000, cash = 3288.1666667
Sell: 2005.10.26 100 shares @ 35.9050000, total shares = 900, cash = 6870.6666667
Sell: 2005.10.28 100 shares @ 37.8050000, total shares = 800, cash = 10643.1666667
Sell: 2005.11.18 100 shares @ 43.4750000, total shares = 700, cash = 14982.6666667
Sell: 2005.11.29 100 shares @ 43.2450000, total shares = 600, cash = 19299.1666667
Buy: 2006.01.23 100 shares @ 42.0300000, total shares = 700, cash = 15088.1666667
Buy: 2006.02.06 100 shares @ 41.2500000, total shares = 800, cash = 10955.1666667
Sell: 2006.03.17 100 shares @ 45.2000000, total shares = 700, cash = 15467.1666667
Sell: 2006.05.19 100 shares @ 52.0100000, total shares = 600, cash = 20660.1666667
Sell: 2006.05.23 100 shares @ 52.7200000, total shares = 500, cash = 25924.1666667
Sell: 2006.06.06 100 shares @ 54.7400000, total shares = 400, cash = 31390.1666667
Buy: 2006.07.17 100 shares @ 52.8700000, total shares = 500, cash = 26095.1666667
Buy: 2006.07.21 100 shares @ 52.2700000, total shares = 600, cash = 20860.1666667
Buy: 2006.08.10 100 shares @ 47.9000000, total shares = 700, cash = 16062.1666667
Sell: 2006.09.15 100 shares @ 52.7600000, total shares = 600, cash = 21330.1666667
Sell: 2006.10.18 100 shares @ 52.6000000, total shares = 500, cash = 26582.1666667
Sell: 2006.10.20 100 shares @ 52.8450000, total shares = 400, cash = 31858.6666667
Sell: 2006.10.25 100 shares @ 53.6750000, total shares = 300, cash = 37218.1666667
Sell: 2007.02.23 100 shares @ 54.4000000, total shares = 200, cash = 42650.1666667
Sell: 2007.04.20 100 shares @ 52.5900000, total shares = 100, cash = 47901.1666667
Sell: 2007.04.25 100 shares @ 53.2900000, total shares = 0, cash = 53222.1666667
Buy: 2007.08.15 100 shares @ 52.7300000, total shares = 100, cash = 47941.1666667
Buy: 2007.11.19 100 shares @ 43.3500000, total shares = 200, cash = 43598.1666667
Buy: 2007.11.20 100 shares @ 41.1200000, total shares = 300, cash = 39478.1666667
Sell: 2007.12.12 100 shares @ 48.2850000, total shares = 200, cash = 44298.6666667
Buy: 2008.01.04 100 shares @ 43.1900000, total shares = 300, cash = 39971.6666667
Buy: 2008.01.09 100 shares @ 41.4300000, total shares = 400, cash = 35820.6666667
Sell: 2008.01.18 100 shares @ 46.3750000, total shares = 300, cash = 40450.1666667
Sell: 2008.02.01 100 shares @ 54.1200000, total shares = 200, cash = 45854.1666667
Sell: 2008.03.11 100 shares @ 58.0400000, total shares = 100, cash = 51650.1666667
Sell: 2008.03.14 100 shares @ 59.9550000, total shares = 0, cash = 57637.6666667
Buy: 2008.06.12 100 shares @ 66.3900000, total shares = 100, cash = 50990.6666667
Buy: 2008.07.10 100 shares @ 67.6500000, total shares = 200, cash = 44217.6666667
